,date,java,.net,c,frontend,android,ios,qa,linux,js,php,python,ruby,game-dev
0,14/12/2015,79,39,6,65,33,27,20,12,67,57,17,10,11
1,16/12/2015,79,38,6,62,34,28,21,11,64,57,17,9,11
2,16/12/2015,79,38,6,62,34,28,21,11,64,57,17,9,11
3,17/12/2015,79,38,6,62,34,28,21,11,65,58,17,9,11
4,18/12/2015,81,38,6,61,35,29,21,11,64,58,17,9,11
5,23/12/2015,84,38,6,61,36,29,21,12,65,56,17,10,11
6,25/12/2015,84,39,6,62,38,29,22,12,66,56,17,10,11
7,26/12/2015,84,39,6,62,38,29,22,12,67,58,17,10,11
8,27/12/2015,84,39,6,61,38,29,22,12,66,58,17,10,11
9,28/12/2015,84,39,6,62,38,29,22,12,68,59,17,10,11
10,30/12/2015,84,39,6,62,38,29,22,12,68,59,17,10,11
11,01/01/2016,84,39,6,62,38,29,22,13,68,60,18,11,11
12,03/01/2016,84,39,6,62,38,29,22,13,68,60,18,11,11
13,04/01/2016,84,39,6,62,38,29,22,13,68,60,18,11,11
14,06/01/2016,82,40,7,61,37,29,22,13,67,61,18,11,11
15,08/01/2016,82,40,7,62,37,29,22,13,68,61,18,11,11
16,09/01/2016,82,40,7,62,37,29,22,13,68,61,18,11,11
17,10/01/2016,82,40,7,62,37,29,22,13,68,61,18,11,11
18,11/01/2016,77,40,7,62,37,29,21,13,63,61,18,11,11
19,14/01/2016,78,40,7,63,37,29,20,13,64,61,18,11,11
20,17/01/2016,77,38,9,63,37,30,20,14,64,59,19,12,11
21,18/01/2016,82,40,9,64,37,30,22,16,66,60,19,12,11
22,19/01/2016,82,40,9,64,37,30,22,16,65,59,19,12,11
23,20/01/2016,82,40,9,65,37,30,22,18,67,59,20,12,11
24,21/01/2016,83,42,10,64,37,30,22,18,66,57,20,12,11
25,23/01/2016,83,42,10,64,37,30,22,18,66,58,20,12,11
26,25/01/2016,82,42,10,64,37,30,22,17,64,58,20,12,11
27,26/01/2016,85,42,10,64,40,33,21,17,66,60,20,12,11
28,27/01/2016,86,42,10,64,40,33,22,17,67,60,20,12,11
29,31/01/2016,85,42,10,66,39,33,22,16,69,64,22,12,11
30,02/02/2016,85,42,11,65,40,33,23,16,68,63,21,10,11
31,04/02/2016,90,45,11,65,40,34,22,17,70,64,21,12,11
32,07/02/2016,91,45,11,65,40,34,22,17,74,67,21,12,11
33,09/02/2016,91,46,14,66,40,33,22,17,74,69,21,12,11
34,10/02/2016,93,46,15,66,41,34,22,17,76,69,22,12,11
35,11/02/2016,92,46,15,67,41,34,22,16,77,70,22,12,11
36,12/02/2016,93,46,15,68,41,33,22,16,78,71,22,12,11
37,13/02/2016,93,46,15,68,41,33,22,16,78,71,22,12,11
38,15/02/2016,91,46,15,66,41,33,22,15,77,70,20,12,11
39,16/02/2016,91,46,15,66,41,33,22,16,77,70,20,12,11
40,17/02/2016,91,46,15,67,41,33,22,16,78,70,20,12,11
41,18/02/2016,92,47,15,67,43,33,22,16,78,70,20,12,11
42,19/02/2016,91,47,15,67,43,32,22,16,77,70,20,12,11
43,22/02/2016,91,45,14,65,43,32,22,15,74,69,20,12,11
44,03/03/2016,87,43,14,64,41,29,22,14,79,77,17,12,10
0,11/03/2016,86,44,15,62,41,30,23,14,80,76,16,13,10
1,12/03/2016,85,44,15,62,41,30,23,15,79,78,16,13,10
2,13/03/2016,85,44,15,62,41,30,23,15,79,78,16,13,10
3,14/03/2016,82,44,15,62,41,30,23,15,76,78,16,13,10
4,15/03/2016,83,45,16,64,41,30,22,15,78,79,16,13,10
5,16/03/2016,83,45,16,64,41,31,22,15,78,78,16,13,10
6,17/03/2016,83,45,16,64,41,30,22,15,79,79,16,13,10
7,18/03/2016,83,45,16,65,41,31,22,15,81,80,16,13,10
8,19/03/2016,83,45,16,65,41,31,22,15,81,80,16,13,10
9,20/03/2016,83,45,16,65,41,31,22,15,81,80,16,13,10
10,21/03/2016,82,45,16,66,41,32,21,15,79,79,16,13,10
11,22/03/2016,82,45,16,66,41,32,22,14,79,79,15,12,10
12,23/03/2016,82,45,16,67,42,33,22,14,79,79,15,12,10
13,24/03/2016,82,45,16,68,42,33,22,14,79,79,15,12,10
14,25/03/2016,82,46,16,67,42,33,22,14,80,79,15,12,10
15,26/03/2016,82,47,16,67,42,33,22,14,80,79,15,12,10
16,27/03/2016,82,47,16,67,42,33,22,14,80,79,15,12,10
17,28/03/2016,81,47,14,64,43,34,22,14,77,76,13,13,10
18,29/03/2016,82,47,16,67,43,34,22,14,80,79,16,13,10
19,30/03/2016,82,47,16,68,43,34,22,15,81,81,16,13,10
20,31/03/2016,83,47,16,69,43,34,22,15,82,81,16,13,10
21,01/04/2016,83,48,17,69,43,34,22,15,83,81,16,13,10
22,02/04/2016,83,48,17,69,43,34,22,15,83,81,16,13,10
23,03/04/2016,83,48,17,69,43,34,22,15,83,81,16,13,10
24,04/04/2016,84,48,17,69,42,32,22,16,80,80,16,13,10
25,05/04/2016,84,49,17,69,42,32,22,16,80,81,16,13,10
26,06/04/2016,84,49,16,69,42,32,22,16,80,81,16,13,10
27,07/04/2016,80,49,16,63,41,29,22,16,70,78,15,12,10
28,08/04/2016,80,49,16,64,41,29,22,16,73,80,15,11,10
29,09/04/2016,80,49,16,64,41,29,22,16,73,80,15,11,10
30,10/04/2016,80,49,16,64,41,29,22,16,73,80,15,11,10
31,11/04/2016,79,48,15,63,40,28,22,16,70,78,15,11,10
32,12/04/2016,80,48,15,63,41,28,22,16,71,79,15,11,10
